Cell Type,Value,Measurement
Hippocampus CA1 pyramidal cell,-5.6,AHP amplitude
Hippocampus CA1 pyramidal cell,22.3,AHP amplitude
Other,18.4,AHP amplitude
Hippocampus CA1 pyramidal cell,0.32,spike rise time
Other,0.39,spike rise time
Hippocampus CA1 pyramidal cell,-42.7,spike threshold
Other,-44.0,spike threshold
Hippocampus CA1 pyramidal cell,58.0,spike peak
Other,63.9,spike peak
Hippocampus CA3 pyramidal cell,1.7,sag ratio
Hippocampus CA1 pyramidal cell,1.6,sag ratio
Dentate gyrus granule cell,1.0,sag ratio
Nucleus accumbens medium spiny neuron,1.4,spike half-width
Nucleus accumbens medium spiny neuron,72.4,spike amplitude
Nucleus accumbens medium spiny neuron,-42.8,spike threshold
Nucleus accumbens medium spiny neuron,312.8,first spike latency
Nucleus accumbens medium spiny neuron,-81.8,resting membrane potential
Nucleus accumbens medium spiny neuron,158.3,rheobase
Dorsal root ganglion cell,-71.0,AHP voltage
Dorsal root ganglion cell,1.8,spike threshold
Dorsal root ganglion cell,-50.0,resting membrane potential
Dorsal root ganglion cell,34.0,cell capacitance
Dorsal root ganglion cell,371.0,input resistance
Neocortex bipolar neuron,60.4,adaptation percent (1 – first/last ISI)
Other,1.0,spike half-width
Other,158.0,spike max rise slope
Other,1.02,spike half-width
Other,205.0,spike max rise slope
Other,35.5,maximum firing rate
Other,19.0,maximum firing rate
Other,-57.0,AHP voltage
Other,32.0,spike amplitude
Other,40.5,spike amplitude
Other,-55.5,AHP voltage
Other,-27.7,spike threshold
Other,-34.6,spike threshold
Hippocampus CA1 pyramidal cell,105.69,spike amplitude
Medial Nucleus of Trapezoid Body neuron,24.5,spike peak
Medial Nucleus of Trapezoid Body neuron,-46.5,spike threshold
Nucleus of the solitary tract principal cell,-61.96,spike max decay slope
Nucleus of the solitary tract principal cell,1.02,spike decay time
Nucleus of the solitary tract principal cell,119.44,spike max rise slope
Nucleus of the solitary tract principal cell,0.59,spike rise time
Medial Nucleus of Trapezoid Body neuron,21.1,other
Medial Nucleus of Trapezoid Body neuron,0.88,rheobase
Medial Nucleus of Trapezoid Body neuron,264.0,spike max rise slope
Medial Nucleus of Trapezoid Body neuron,1.23,first spike latency
Medial Nucleus of Trapezoid Body neuron,203.0,input resistance
Cerebellum Purkinje cell,618.9,cell capacitance
Cerebellum Purkinje cell,405.9,spike max rise slope
Cerebellum Purkinje cell,392.6,spike max rise slope
Cerebellum Purkinje cell,314.1,spike max rise slope
Cerebellum Purkinje cell,-38.0,spike threshold
Cerebellum Purkinje cell,-33.1,spike threshold
Cerebellum Purkinje cell,-45.1,spike threshold
Cerebellum Purkinje cell,-43.6,spike threshold
Cerebellum Purkinje cell,-39.7,spike threshold
Cerebellum Purkinje cell,-28.5,spike threshold
Cerebellum Purkinje cell,245.0,spike max rise slope
Cerebellum Purkinje cell,721.9,cell capacitance
Cerebellum Purkinje cell,681.1,cell capacitance
Cerebellum Purkinje cell,68.6,spike amplitude
Cerebellum Purkinje cell,56.0,spike amplitude
Cerebellum Purkinje cell,37.7,spike amplitude
Cerebellum Purkinje cell,64.4,spike amplitude
Cerebellum Purkinje cell,283.3,rheobase
Cerebellum Purkinje cell,74.6,spike amplitude
Cerebellum Purkinje cell,112.6,rheobase
Cerebellum Purkinje cell,295.4,rheobase
Cerebellum Purkinje cell,116.3,rheobase
Cerebellum Purkinje cell,280.0,rheobase
Cerebellum Purkinje cell,246.7,rheobase
Cerebellum Purkinje cell,661.8,cell capacitance
Cerebellum Purkinje cell,596.1,cell capacitance
Cerebellum Purkinje cell,543.7,cell capacitance
Cerebellum Purkinje cell,77.3,spike amplitude
Cerebellum Purkinje cell,283.2,spike max rise slope
Cerebellum Purkinje cell,10.7,AHP amplitude
Cerebellum Purkinje cell,12.2,AHP amplitude
Cerebellum Purkinje cell,114.4,spike max rise slope
Cerebellum Purkinje cell,19.6,AHP amplitude
Cerebellum Purkinje cell,13.5,AHP amplitude
Cerebellum Purkinje cell,10.5,AHP amplitude
Cerebellum Purkinje cell,11.4,AHP amplitude
Cerebellum Purkinje cell,101.8,input resistance
Cerebellum Purkinje cell,101.9,input resistance
Cerebellum Purkinje cell,87.8,input resistance
Cerebellum Purkinje cell,96.2,input resistance
Cerebellum Purkinje cell,75.6,input resistance
Cerebellum Purkinje cell,104.2,input resistance
Cerebellum Purkinje cell,23.2,sag amplitude
Cerebellum Purkinje cell,24.1,sag amplitude
Cerebellum Purkinje cell,21.8,sag amplitude
Cerebellum Purkinje cell,21.0,sag amplitude
Cerebellum Purkinje cell,18.4,sag amplitude
Cerebellum Purkinje cell,16.4,sag amplitude
Dentate gyrus granule cell,42.4,rheobase
Dentate gyrus granule cell,-74.9,resting membrane potential
Dentate gyrus granule cell,-37.2,spike threshold
Dentate gyrus granule cell,185.8,input resistance
Dentate gyrus granule cell,77.5,spike amplitude
Cerebellum Purkinje cell,563.1,input resistance
Cerebellum Purkinje cell,18.9,maximum firing rate
Cerebellum Purkinje cell,189.7,cell surface area
Cerebellum Purkinje cell,0.75,spike half-width
Cerebellum Purkinje cell,-19.8,AHP amplitude
Cerebellum Purkinje cell,-34.8,spike threshold
Cerebellum Purkinje cell,45.4,spike amplitude
Cerebellum Purkinje cell,-104.5,AHP duration
Cerebellum Purkinje cell,0.08,rheobase
Cerebellum Purkinje cell,56.7,FI slope
Cerebellum Purkinje cell,0.03,rheobase
Cerebellum Purkinje cell,-86.4,AHP duration
Cerebellum Purkinje cell,-15.7,AHP amplitude
Cerebellum Purkinje cell,0.98,spike half-width
Cerebellum Purkinje cell,52.3,spike amplitude
Cerebellum Purkinje cell,-35.3,spike threshold
Cerebellum Purkinje cell,970.5,input resistance
Cerebellum Purkinje cell,146.7,cell surface area
Cerebellum Purkinje cell,252.8,maximum firing rate
Cerebellum Purkinje cell,127.9,FI slope
Cerebellum Purkinje cell,0.82,rheobase
Cerebellum Purkinje cell,-509.1,AHP duration
Cerebellum Purkinje cell,-11.5,AHP amplitude
Cerebellum Purkinje cell,0.2,spike half-width
Cerebellum Purkinje cell,67.7,spike amplitude
Cerebellum Purkinje cell,-41.4,spike threshold
Cerebellum Purkinje cell,69.9,input resistance
Cerebellum Purkinje cell,533.2,cell surface area
Cerebellum Purkinje cell,68.1,spike amplitude
Cerebellum Purkinje cell,0.18,spike half-width
Cerebellum Purkinje cell,-12.0,AHP amplitude
Cerebellum Purkinje cell,-518.2,AHP duration
Cerebellum Purkinje cell,0.8,rheobase
Cerebellum Purkinje cell,100.0,FI slope
Cerebellum Purkinje cell,250.9,maximum firing rate
Cerebellum Purkinje cell,429.6,cell surface area
Cerebellum Purkinje cell,65.1,input resistance
Cerebellum Purkinje cell,-41.6,spike threshold
Cerebellum Purkinje cell,303.8,maximum firing rate
Cerebellum Purkinje cell,139.4,FI slope
Cerebellum Purkinje cell,60.9,input resistance
Cerebellum Purkinje cell,391.2,cell surface area
Cerebellum Purkinje cell,-11.6,AHP amplitude
Cerebellum Purkinje cell,0.19,spike half-width
Cerebellum Purkinje cell,0.64,rheobase
Cerebellum Purkinje cell,-522.7,AHP duration
Cerebellum Purkinje cell,0.89,rheobase
Cerebellum Purkinje cell,104.8,FI slope
Cerebellum Purkinje cell,-12.1,AHP amplitude
Cerebellum Purkinje cell,-500.0,AHP duration
Cerebellum Purkinje cell,65.0,spike amplitude
Cerebellum Purkinje cell,0.18,spike half-width
Cerebellum Purkinje cell,-42.4,spike threshold
Cerebellum Purkinje cell,461.2,cell surface area
Cerebellum Purkinje cell,78.8,input resistance
Cerebellum Purkinje cell,22.6,maximum firing rate
Cerebellum Purkinje cell,130.8,FI slope
Cerebellum Purkinje cell,41.5,spike amplitude
Cerebellum Purkinje cell,-31.8,spike threshold
Cerebellum Purkinje cell,0.06,rheobase
Cerebellum Purkinje cell,-40.9,AHP duration
Cerebellum Purkinje cell,-13.9,AHP amplitude
Cerebellum Purkinje cell,1.63,spike half-width
Cerebellum Purkinje cell,-43.0,spike threshold
Cerebellum Purkinje cell,71.5,spike amplitude
Cerebellum Purkinje cell,56.6,input resistance
Cerebellum Purkinje cell,360.4,maximum firing rate
Cerebellum Purkinje cell,427.1,cell surface area
Cerebellum Purkinje cell,0.59,rheobase
Cerebellum Purkinje cell,175.0,FI slope
Cerebellum Purkinje cell,-13.5,AHP amplitude
Cerebellum Purkinje cell,-495.5,AHP duration
Cerebellum Purkinje cell,527.6,cell surface area
Cerebellum Purkinje cell,250.9,maximum firing rate
Cerebellum Purkinje cell,83.5,input resistance
Cerebellum Purkinje cell,0.18,spike half-width
Cerebellum Purkinje cell,68.9,spike amplitude
Cerebellum Purkinje cell,260.4,maximum firing rate
Cerebellum Purkinje cell,144.2,FI slope
Cerebellum Purkinje cell,0.37,rheobase
Cerebellum Purkinje cell,-336.4,AHP duration
Cerebellum Purkinje cell,-40.6,spike threshold
Cerebellum Purkinje cell,76.9,input resistance
Cerebellum Purkinje cell,430.6,cell surface area
Cerebellum Purkinje cell,230.2,maximum firing rate
Cerebellum Purkinje cell,459.8,cell surface area
Cerebellum Purkinje cell,-41.9,spike threshold
Cerebellum Purkinje cell,65.0,spike amplitude
Cerebellum Purkinje cell,0.19,spike half-width
Cerebellum Purkinje cell,-12.4,AHP amplitude
Cerebellum Purkinje cell,-486.4,AHP duration
Cerebellum Purkinje cell,0.87,rheobase
Cerebellum Purkinje cell,107.7,FI slope
Cerebellum Purkinje cell,97.5,input resistance
Cerebellum Purkinje cell,-37.9,spike threshold
Cerebellum Purkinje cell,61.9,spike amplitude
Cerebellum Purkinje cell,0.27,rheobase
Cerebellum Purkinje cell,82.7,FI slope
Cerebellum Purkinje cell,60.4,maximum firing rate
Cerebellum Purkinje cell,354.9,cell surface area
Cerebellum Purkinje cell,0.23,spike half-width
Cerebellum Purkinje cell,-13.2,AHP amplitude
Cerebellum Purkinje cell,0.82,rheobase
Cerebellum Purkinje cell,-509.1,AHP duration
Cerebellum Purkinje cell,-13.3,AHP amplitude
Cerebellum Purkinje cell,0.19,spike half-width
Cerebellum Purkinje cell,65.0,spike amplitude
Cerebellum Purkinje cell,-40.4,spike threshold
Cerebellum Purkinje cell,74.5,input resistance
Cerebellum Purkinje cell,245.3,maximum firing rate
Cerebellum Purkinje cell,102.9,FI slope
Cerebellum Purkinje cell,28.3,maximum firing rate
Cerebellum Purkinje cell,41.3,FI slope
Cerebellum Purkinje cell,267.7,input resistance
Cerebellum Purkinje cell,390.9,cell surface area
Cerebellum Purkinje cell,-37.3,spike threshold
Cerebellum Purkinje cell,0.4,spike half-width
Cerebellum Purkinje cell,50.4,spike amplitude
Cerebellum Purkinje cell,-172.7,AHP duration
Cerebellum Purkinje cell,-15.0,AHP amplitude
Neostriatum medium spiny neuron,1.6,membrane time constant
Neostriatum medium spiny neuron,1.6,membrane time constant
Neostriatum medium spiny neuron,1.6,membrane time constant
Neostriatum medium spiny neuron,105.0,input resistance
Neostriatum medium spiny neuron,105.0,input resistance
Neostriatum medium spiny neuron,137.0,input resistance
Neostriatum medium spiny neuron,95.0,cell capacitance
Neostriatum medium spiny neuron,96.0,cell capacitance
Neostriatum medium spiny neuron,95.0,cell capacitance
Amygdala basolateral nucleus pyramidal neuron,2.1,spike width
Amygdala basolateral nucleus pyramidal neuron,60.0,spike amplitude
Amygdala basolateral nucleus pyramidal neuron,-55.0,spike threshold
Amygdala basolateral nucleus pyramidal neuron,71.0,spike amplitude
Amygdala basolateral nucleus pyramidal neuron,-78.9,resting membrane potential
Amygdala basolateral nucleus pyramidal neuron,-80.0,resting membrane potential
Amygdala basolateral nucleus pyramidal neuron,0.1,firing frequency
Amygdala basolateral nucleus pyramidal neuron,0.44,firing frequency
Amygdala basolateral nucleus pyramidal neuron,50.0,input resistance
Amygdala basolateral nucleus pyramidal neuron,35.3,input resistance
Amygdala basolateral nucleus pyramidal neuron,2.0,spike width
Amygdala basolateral nucleus pyramidal neuron,-64.0,spike threshold
Amygdala basolateral nucleus pyramidal neuron,0.1,firing frequency
Amygdala basolateral nucleus pyramidal neuron,-76.0,resting membrane potential
Amygdala basolateral nucleus pyramidal neuron,35.6,input resistance
Amygdala basolateral nucleus pyramidal neuron,68.0,spike amplitude
Amygdala basolateral nucleus pyramidal neuron,2.1,spike width
Amygdala basolateral nucleus pyramidal neuron,-54.0,spike threshold
Dorsal root ganglion cell,97.3,spike amplitude
Dorsal root ganglion cell,107.9,spike max rise slope
Dorsal root ganglion cell,95.5,spike max rise slope
Dorsal root ganglion cell,103.8,spike amplitude
Dorsal root ganglion cell,-52.1,spike max decay slope
Dorsal root ganglion cell,0.49,rheobase
Dorsal root ganglion cell,0.37,rheobase
Dorsal root ganglion cell,104.6,spike amplitude
Dorsal root ganglion cell,-15.4,AHP amplitude
Dorsal root ganglion cell,-20.1,AHP amplitude
Dorsal root ganglion cell,110.0,spike max rise slope
Dorsal root ganglion cell,-57.0,resting membrane potential
Dorsal root ganglion cell,2.05,spike width
Dorsal root ganglion cell,1.86,spike width
Dorsal root ganglion cell,3.29,spike width
Dorsal root ganglion cell,-25.6,spike threshold
Dorsal root ganglion cell,-24.1,spike threshold
Dorsal root ganglion cell,-23.3,spike threshold
Dorsal root ganglion cell,453.0,input resistance
Dorsal root ganglion cell,330.0,input resistance
Dorsal root ganglion cell,-49.0,spike max decay slope
Dorsal root ganglion cell,-57.9,spike max decay slope
Dorsal root ganglion cell,603.0,input resistance
Dorsal root ganglion cell,-17.7,AHP amplitude
Dorsal root ganglion cell,0.27,rheobase
Dorsal root ganglion cell,-58.5,resting membrane potential
Dorsal root ganglion cell,-61.4,resting membrane potential
Ventral tegmental area dopamine neuron,-67.9,AHP voltage
Ventral tegmental area dopamine neuron,-60.1,AHP voltage
Hippocampus CA1 pyramidal cell,0.709,sag ratio
Hippocampus CA1 pyramidal cell,0.734,sag ratio
Hippocampus CA1 pyramidal cell,-52.4,spike threshold
Hippocampus CA1 pyramidal cell,-112.0,spike max decay slope
Hippocampus CA1 pyramidal cell,28.3,ADP amplitude
Hippocampus CA1 pyramidal cell,98.1,spike amplitude
Hippocampus CA1 pyramidal cell,179.0,input resistance
Hippocampus CA1 pyramidal cell,-0.931,AHP amplitude
Hippocampus CA1 pyramidal cell,-0.776,AHP amplitude
Hippocampus CA1 pyramidal cell,-68.6,resting membrane potential
Hippocampus CA1 pyramidal cell,-66.6,resting membrane potential
Hippocampus CA1 pyramidal cell,29.6,ADP amplitude
Hippocampus CA1 pyramidal cell,95.8,spike amplitude
Hippocampus CA1 pyramidal cell,-116.0,spike max decay slope
Hippocampus CA1 pyramidal cell,656.0,spike max rise slope
Hippocampus CA1 pyramidal cell,662.0,spike max rise slope
Hippocampus CA1 pyramidal cell,107.0,input resistance
Hippocampus CA1 pyramidal cell,-50.2,spike threshold
Hippocampus CA1 pyramidal cell,0.895,spike half-width
Hippocampus CA1 pyramidal cell,0.901,spike half-width
Locus coeruleus noradrenergic neuron,0.06,FI slope
Locus coeruleus noradrenergic neuron,0.6,adaptation ratio
Locus coeruleus noradrenergic neuron,332.0,cell surface area
Locus coeruleus noradrenergic neuron,130.0,cell capacitance
Locus coeruleus noradrenergic neuron,-29.4,spike threshold
Locus coeruleus noradrenergic neuron,0.8,spontaneous firing rate
Locus coeruleus noradrenergic neuron,-43.1,resting membrane potential
Locus coeruleus noradrenergic neuron,430.0,input resistance
Locus coeruleus noradrenergic neuron,-24.4,AHP amplitude
Nucleus of the solitary tract principal cell,82.0,spike max rise slope
Nucleus of the solitary tract principal cell,45.0,spike max decay slope
Nucleus of the solitary tract principal cell,17.0,firing frequency
Hippocampus CA1 pyramidal cell,-61.9,fast AHP voltage
Hippocampus CA1 pyramidal cell,96.6,spike amplitude
Hippocampus CA1 pyramidal cell,0.14,spike rise time
Hippocampus CA1 pyramidal cell,0.15,spike rise time
Hippocampus CA1 pyramidal cell,0.85,spike half-width
Hippocampus CA1 pyramidal cell,-62.5,spike threshold
Hippocampus CA1 pyramidal cell,-62.4,fast AHP voltage
Hippocampus CA1 pyramidal cell,-63.5,spike threshold
Hippocampus CA1 pyramidal cell,38.9,input resistance
Hippocampus CA1 pyramidal cell,40.1,input resistance
Hippocampus CA1 pyramidal cell,0.84,spike half-width
Hippocampus CA1 pyramidal cell,96.6,spike amplitude
Hippocampus CA1 pyramidal cell,-68.0,resting membrane potential
Hippocampus CA1 pyramidal cell,-67.7,resting membrane potential
Other,74.0,first spike latency
Hippocampus CA1 oriens lacunosum moleculare neuron,92.3,first spike latency
Other,36.8,first spike latency
Other,0.687,sag ratio
Hippocampus CA1 pyramidal cell,44.7,first spike latency
Other,18.5,membrane time constant
Other,97.0,cell capacitance
Other,144.0,input resistance
Trigeminal nucleus principal cell,95.33,spike max rise slope
Trigeminal nucleus principal cell,0.32,spike rise time
Substantia nigra pars reticulata interneuron GABA,320.5,spike max rise slope
Substantia nigra pars compacta dopaminergic cell,103.7,spike max rise slope
Substantia nigra pars reticulata interneuron GABA,107.7,spike amplitude
Substantia nigra pars compacta dopaminergic cell,86.7,spike amplitude
Thalamus parafascicular nucleus neuron,702.02,input resistance
Thalamus parafascicular nucleus neuron,329.77,input resistance
Thalamus parafascicular nucleus neuron,83.94,cell capacitance
Thalamus parafascicular nucleus neuron,95.61,cell capacitance
Thalamus parafascicular nucleus neuron,-54.67,resting membrane potential
Thalamus parafascicular nucleus neuron,-52.6,resting membrane potential
Thalamus parafascicular nucleus neuron,95.8,cell capacitance
Thalamus parafascicular nucleus neuron,492.97,input resistance
Thalamus parafascicular nucleus neuron,314.95,input resistance
Thalamus parafascicular nucleus neuron,1.5,spike half-width
Thalamus parafascicular nucleus neuron,1.83,spike half-width
Thalamus parafascicular nucleus neuron,2.43,spike half-width
Thalamus parafascicular nucleus neuron,1.75,spike half-width
Thalamus parafascicular nucleus neuron,28.83,membrane time constant
Thalamus parafascicular nucleus neuron,22.27,membrane time constant
Thalamus parafascicular nucleus neuron,-51.46,resting membrane potential
Thalamus parafascicular nucleus neuron,-49.22,resting membrane potential
Thalamus parafascicular nucleus neuron,28.54,membrane time constant
Thalamus parafascicular nucleus neuron,52.94,membrane time constant
Thalamus parafascicular nucleus neuron,-32.67,spike threshold
Thalamus parafascicular nucleus neuron,-34.0,spike threshold
Thalamus parafascicular nucleus neuron,55.2,spike amplitude
Thalamus parafascicular nucleus neuron,59.0,spike amplitude
Thalamus parafascicular nucleus neuron,53.5,spike amplitude
Thalamus parafascicular nucleus neuron,54.0,spike amplitude
Thalamus parafascicular nucleus neuron,-34.27,spike threshold
Thalamus parafascicular nucleus neuron,-28.9,spike threshold
Thalamus parafascicular nucleus neuron,57.77,cell capacitance
Hippocampus CA1 pyramidal cell,0.61,spike rise time
Spinal cord ventral horn motor neuron alpha,4.9,membrane time constant
Inferior colliculus neuron,47.4,spike amplitude
Inferior colliculus neuron,1.28,spike half-width
Inferior colliculus neuron,267.1,input resistance
Inferior colliculus neuron,21.9,membrane time constant
Inferior colliculus neuron,1.15,spike half-width
Inferior colliculus neuron,60.1,resting membrane potential
Inferior colliculus neuron,42.5,spike threshold
Inferior colliculus neuron,43.2,spike amplitude
Inferior colliculus neuron,308.2,input resistance
Inferior colliculus neuron,21.6,membrane time constant
Inferior colliculus neuron,31.6,spike threshold
Inferior colliculus neuron,60.8,resting membrane potential
Inferior colliculus neuron,60.4,resting membrane potential
Inferior colliculus neuron,324.4,input resistance
Inferior colliculus neuron,1.24,spike half-width
Inferior colliculus neuron,44.5,spike threshold
Inferior colliculus neuron,22.2,membrane time constant
Inferior colliculus neuron,45.9,spike amplitude
Inferior colliculus neuron,60.8,resting membrane potential
Inferior colliculus neuron,59.7,resting membrane potential
Inferior colliculus neuron,1.11,spike half-width
Inferior colliculus neuron,44.1,spike threshold
Inferior colliculus neuron,22.2,membrane time constant
Inferior colliculus neuron,321.5,input resistance
Inferior colliculus neuron,23.3,membrane time constant
Inferior colliculus neuron,45.3,spike threshold
Inferior colliculus neuron,48.4,spike amplitude
Inferior colliculus neuron,60.6,resting membrane potential
Inferior colliculus neuron,20.3,membrane time constant
Inferior colliculus neuron,255.4,input resistance
Inferior colliculus neuron,1.21,spike half-width
Inferior colliculus neuron,48.9,spike amplitude
Inferior colliculus neuron,43.1,spike threshold
Inferior colliculus neuron,1.55,spike half-width
Inferior colliculus neuron,47.8,spike amplitude
Inferior colliculus neuron,25.8,membrane time constant
Inferior colliculus neuron,348.4,input resistance
Inferior colliculus neuron,59.2,resting membrane potential
Inferior colliculus neuron,1.58,spike half-width
Inferior colliculus neuron,59.8,resting membrane potential
Inferior colliculus neuron,1.29,spike half-width
Inferior colliculus neuron,47.4,spike amplitude
Inferior colliculus neuron,20.5,membrane time constant
Inferior colliculus neuron,269.1,input resistance
Inferior colliculus neuron,41.8,spike threshold
Inferior colliculus neuron,47.9,spike amplitude
Inferior colliculus neuron,224.6,input resistance
Inferior colliculus neuron,40.8,spike threshold
Other,712.0,first spike latency
Other,1721.0,first spike latency
Hippocampus CA1 pyramidal cell,0.67,spike rise time
Paraventricular hypothalamic nucleus neurons,64.6,spike amplitude
Paraventricular hypothalamic nucleus neurons,3.0,spike half-width
Paraventricular hypothalamic nucleus neurons,1.5,spike decay time
Paraventricular hypothalamic nucleus neurons,-31.2,spike threshold
Cerebellum Purkinje cell,-7.41,slow AHP amplitude
Nucleus of the solitary tract principal cell,11.3,AHP amplitude
Nucleus of the solitary tract principal cell,38.4,firing frequency
Nucleus of the solitary tract principal cell,7.2,spike width
Nucleus of the solitary tract principal cell,954.0,input resistance
Nucleus of the solitary tract principal cell,66.3,resting membrane potential
Hippocampus CA1 pyramidal cell,0.5,AHP duration
Hippocampus CA1 pyramidal cell,-69.0,resting membrane potential
Hippocampus CA1 pyramidal cell,112.6,input resistance
Nucleus of the solitary tract principal cell,32.4,adaptation percent (1 – first/last ISI)
Nucleus of the solitary tract principal cell,39.0,adaptation percent (1 – first/last ISI)
Nucleus accumbens medium spiny neuron,1.28,spike half-width
Nucleus accumbens medium spiny neuron,1.22,spike half-width
Nucleus accumbens medium spiny neuron,11.9,AHP amplitude
Nucleus accumbens medium spiny neuron,10.2,AHP amplitude
Nucleus accumbens medium spiny neuron,68.4,spike amplitude
Nucleus accumbens medium spiny neuron,66.8,spike amplitude
Nucleus accumbens medium spiny neuron,-45.8,spike threshold
Nucleus accumbens medium spiny neuron,-93.1,resting membrane potential
Nucleus accumbens medium spiny neuron,-43.9,spike threshold
Nucleus accumbens medium spiny neuron,-93.7,resting membrane potential
Dentate gyrus granule cell,157.0,spike amplitude from trough
Inferior colliculus neuron,22.2,membrane time constant
Inferior colliculus neuron,229.6,input resistance
Inferior colliculus neuron,39.1,spike threshold
Inferior colliculus neuron,1.24,spike half-width
Inferior colliculus neuron,50.9,spike amplitude
Inferior colliculus neuron,23.3,membrane time constant
Inferior colliculus neuron,254.0,input resistance
Inferior colliculus neuron,59.8,resting membrane potential
Inferior colliculus neuron,44.2,spike threshold
Inferior colliculus neuron,1.12,spike half-width
Inferior colliculus neuron,60.1,resting membrane potential
Inferior colliculus neuron,52.8,spike amplitude
Dentate gyrus granule cell,18.4,membrane time constant
Dentate gyrus granule cell,1.2,spike half-width
Dentate gyrus granule cell,89.5,spike amplitude
Dentate gyrus granule cell,-71.4,resting membrane potential
Dentate gyrus granule cell,186.8,input resistance
Inferior colliculus neuron,51.6,spike amplitude
Inferior colliculus neuron,318.2,input resistance
Inferior colliculus neuron,18.5,membrane time constant
Inferior colliculus neuron,-59.7,resting membrane potential
Inferior colliculus neuron,10.7,AHP amplitude
Inferior colliculus neuron,82.8,AHP duration
Inferior colliculus neuron,1.4,spike half-width
Hippocampus CA1 pyramidal cell,157.0,membrane time constant
Neocortex basket cell,2.6,membrane time constant
Neocortex pyramidal cell layer 2-3,9.0,membrane time constant
Hippocampus CA1 pyramidal cell,21.6,membrane time constant
Hippocampus CA1 pyramidal cell,-67.2,resting membrane potential
Hippocampus CA1 pyramidal cell,1.6,adaptation ratio (last/first ISI)
Hippocampus CA1 pyramidal cell,-62.2,resting membrane potential
Hippocampus CA1 pyramidal cell,26.2,firing frequency
Hippocampus CA1 pyramidal cell,-45.8,spike threshold
Hippocampus CA1 pyramidal cell,1.03,spike half-width
Hippocampus CA1 pyramidal cell,346.1,spike max rise slope
Hippocampus CA1 pyramidal cell,1.29,spike half-width
Hippocampus CA1 pyramidal cell,95.7,spike amplitude
Hippocampus CA1 pyramidal cell,2.56,adaptation ratio (last/first ISI)
Hippocampus CA1 pyramidal cell,-49.9,spike threshold
Hippocampus CA1 pyramidal cell,18.4,firing frequency
Hippocampus CA1 pyramidal cell,32.5,membrane time constant
Hippocampus CA1 pyramidal cell,-49.1,spike threshold
Hippocampus CA1 pyramidal cell,2.39,adaptation ratio (last/first ISI)
Hippocampus CA1 pyramidal cell,96.6,spike amplitude
Hippocampus CA1 pyramidal cell,1.16,spike half-width
Hippocampus CA1 pyramidal cell,386.8,spike max rise slope
Hippocampus CA1 pyramidal cell,410.6,spike max rise slope
Hippocampus CA1 pyramidal cell,95.5,spike amplitude
Hippocampus CA1 pyramidal cell,1.08,spike half-width
Hippocampus CA1 pyramidal cell,-48.5,spike threshold
Hippocampus CA1 pyramidal cell,2.1,adaptation ratio (last/first ISI)
Hippocampus CA1 pyramidal cell,31.5,firing frequency
Hippocampus CA1 pyramidal cell,390.2,spike max rise slope
Hippocampus CA1 pyramidal cell,91.7,spike amplitude
Hippocampus CA1 pyramidal cell,-69.6,resting membrane potential
Hippocampus CA1 pyramidal cell,17.8,membrane time constant
Hippocampus CA1 pyramidal cell,33.3,firing frequency
Hippocampus CA1 pyramidal cell,-64.8,resting membrane potential
Hippocampus CA1 pyramidal cell,26.9,membrane time constant
Paraventricular hypothalamic nucleus neurons,-31.0,spike threshold
Paraventricular hypothalamic nucleus neurons,2.0,spike decay time
Paraventricular hypothalamic nucleus neurons,4.1,spike half-width
Paraventricular hypothalamic nucleus neurons,61.1,spike amplitude
Neocortex interneuron deep,52.7,spike amplitude
Neocortex interneuron deep,0.71,spike width
Neocortex interneuron deep,140.9,maximum firing rate
Neocortex interneuron deep,0.22,spike rise time
Neocortex interneuron deep,20.21,AHP amplitude
Neocortex interneuron deep,297.0,first spike latency
Neocortex interneuron deep,-32.2,spike threshold
Neocortex interneuron deep,0.12,AHP duration
Neocortex interneuron deep,273.0,rheobase
Neocortex interneuron deep,135.3,input resistance
Neocortex interneuron deep,-70.0,resting membrane potential
Neocortex interneuron deep,31.9,cell capacitance
Neocortex interneuron deep,52.2,spike amplitude
Neocortex interneuron deep,151.4,maximum firing rate
Neocortex interneuron deep,0.27,spike rise time
Neocortex interneuron deep,147.6,first spike latency
Neocortex interneuron deep,0.9,spike width
Neocortex interneuron deep,20.5,AHP amplitude
Neocortex interneuron deep,-37.3,spike threshold
Neocortex interneuron deep,0.15,AHP duration
Neocortex interneuron deep,186.5,rheobase
Neocortex interneuron deep,124.1,input resistance
Neocortex interneuron deep,-67.5,resting membrane potential
Neocortex interneuron deep,31.2,cell capacitance
Superior colliculus superficial layer neuron,44.2,resting membrane potential
Superior colliculus superficial layer neuron,16.0,cell capacitance
Superior colliculus superficial layer neuron,5.3,firing frequency
Superior colliculus superficial layer neuron,521.0,input resistance
Dorsal root ganglion cell,3.2,spike decay time
Dorsal root ganglion cell,3.1,spike half-width
Dorsal root ganglion cell,127.0,spike max rise slope
Dorsal root ganglion cell,-40.0,spike max decay slope
Neocortex pyramidal cell layer 5-6,54.1,adaptation percent (first/last ISI)
Neocortex pyramidal cell layer 5-6,80.0,adaptation percent (first/last ISI)
Hippocampus CA1 pyramidal cell,181.0,rheobase
Hippocampus CA1 pyramidal cell,151.0,rheobase
Neocortex pyramidal cell layer 5-6,2.1,ADP amplitude
