,Cell Type,Value,Measurement
11557,Nucleus of the solitary tract intrinsic cell,35.61,spike peak
11558,Nucleus of the solitary tract intrinsic cell,19.94,AHP amplitude
11559,Neostriatum medium spiny neuron,-64.87,resting membrane potential
11560,Neostriatum medium spiny neuron,-67.67,resting membrane potential
11561,Neostriatum medium spiny neuron,-78.91,resting membrane potential
11562,Neostriatum medium spiny neuron,-78.65,resting membrane potential
11563,Amygdala basolateral nucleus pyramidal neuron,0.05,cell capacitance
11564,Amygdala basolateral nucleus pyramidal neuron,13.6,resting membrane potential
11565,Amygdala basolateral nucleus pyramidal neuron,0.27,adaptation ratio
11566,Amygdala basolateral nucleus pyramidal neuron,33.9,AHP amplitude
11567,Amygdala basolateral nucleus pyramidal neuron,287.9,input resistance
11568,Amygdala basolateral nucleus pyramidal neuron,64.9,spike amplitude
11569,Amygdala basolateral nucleus pyramidal neuron,0.92,spike half-width
11570,Other,1.38,spike half-width
11571,Other,80.24,spike amplitude
11572,Other,63.03,membrane time constant
11573,Other,346.85,input resistance
11574,Other,-62.11,resting membrane potential
11575,Hippocampus CA1 pyramidal cell,99.26,input resistance
11576,Hippocampus CA1 pyramidal cell,-76.25,resting membrane potential
11577,Hippocampus CA1 pyramidal cell,1.17,spike half-width
11578,Hippocampus CA1 pyramidal cell,99.26,spike amplitude
11579,Hippocampus CA1 pyramidal cell,25.49,membrane time constant
11580,Neocortex pyramidal cell layer 5-6,86.1,spike amplitude
11581,Neocortex pyramidal cell layer 2-3,27.5,input resistance
11582,Neocortex pyramidal cell layer 2-3,88.7,resting membrane potential
11583,Neocortex pyramidal cell layer 5-6,9.6,membrane time constant
11584,Neocortex pyramidal cell layer 2-3,10.0,membrane time constant
11585,Neocortex pyramidal cell layer 5-6,36.4,input resistance
11586,Neocortex pyramidal cell layer 5-6,76.0,resting membrane potential
11587,Neocortex pyramidal cell layer 2-3,80.0,spike amplitude
11588,Neocortex pyramidal cell layer 5-6,75.0,resting membrane potential
11589,Neocortex pyramidal cell layer 5-6,23.1,input resistance
11590,Neocortex pyramidal cell layer 5-6,74.0,resting membrane potential
11591,Neocortex pyramidal cell layer 5-6,10.5,membrane time constant
11592,Neocortex pyramidal cell layer 5-6,83.7,spike amplitude
11593,Neocortex pyramidal cell layer 5-6,20.6,input resistance
11594,Neocortex pyramidal cell layer 5-6,86.6,spike amplitude
11595,Neocortex pyramidal cell layer 5-6,8.8,membrane time constant
11596,Hippocampus CA1 pyramidal cell,-39.0,spike threshold
11597,Hippocampus CA1 pyramidal cell,119.0,spike amplitude from resting
11598,Hippocampus CA1 pyramidal cell,19.0,membrane time constant
11599,Hippocampus CA1 pyramidal cell,321.0,spike max rise slope
11600,Hippocampus CA1 pyramidal cell,0.86,spike half-width
11601,Hippocampus CA1 pyramidal cell,134.0,input resistance
11602,Hippocampus CA1 pyramidal cell,-57.0,resting membrane potential
11603,Neostriatum TH+ cell,-43.0,spike threshold
11604,Neostriatum TH+ cell,-47.0,spike threshold
11605,Neostriatum TH+ cell,0.43,spike half-width
11606,Neostriatum TH+ cell,0.78,spike half-width
11607,Neostriatum TH+ cell,76.0,spike amplitude
11608,Neostriatum TH+ cell,94.0,spike amplitude
11609,Neostriatum TH+ cell,-77.0,resting membrane potential
11610,Neostriatum TH+ cell,-71.0,resting membrane potential
11611,Neostriatum TH+ cell,20.0,AHP amplitude
11612,Neostriatum TH+ cell,16.0,AHP amplitude
11613,Neostriatum TH+ cell,429.0,input resistance
11614,Neostriatum TH+ cell,744.0,input resistance
11615,Neostriatum TH+ cell,-45.0,spike threshold
11616,Neostriatum TH+ cell,-44.0,spike threshold
11617,Neostriatum TH+ cell,0.5,spike half-width
11618,Neostriatum TH+ cell,0.46,spike half-width
11619,Neostriatum TH+ cell,-74.0,resting membrane potential
11620,Neostriatum TH+ cell,-89.0,resting membrane potential
11621,Neostriatum TH+ cell,79.0,spike amplitude
11622,Neostriatum TH+ cell,15.0,AHP amplitude
11623,Neostriatum TH+ cell,14.0,AHP amplitude
11624,Neostriatum TH+ cell,80.0,spike amplitude
11625,Neostriatum TH+ cell,471.0,input resistance
11626,Neostriatum TH+ cell,180.0,input resistance
11627,Medial entorhinal cortex layer III pyramidal cell,-53.8,spike threshold
11628,Other,-78.5,resting membrane potential
11629,Medial entorhinal cortex layer II stellate cell,-72.3,resting membrane potential
11630,Medial entorhinal cortex layer III pyramidal cell,-75.4,resting membrane potential
11631,Medial entorhinal cortex layer II stellate cell,-52.8,spike threshold
11632,Other,-48.1,spike threshold
11633,Other,156.0,input resistance
11634,Medial entorhinal cortex layer II stellate cell,0.6,firing frequency
11635,Medial entorhinal cortex layer III pyramidal cell,4.2,firing frequency
11636,Medial entorhinal cortex layer II stellate cell,149.0,input resistance
11637,Medial entorhinal cortex layer III pyramidal cell,243.0,input resistance
11638,Other,9.1,firing frequency
11639,Other,0.7,firing frequency
11640,Other,-70.7,resting membrane potential
11641,Other,-51.4,spike threshold
11642,Other,452.0,input resistance
11643,Other,-71.7,resting membrane potential
11644,Other,-71.4,resting membrane potential
11645,Other,-75.5,resting membrane potential
11646,Other,-74.1,resting membrane potential
11647,Other,403.0,input resistance
11648,Other,508.0,input resistance
11649,Other,385.0,input resistance
11650,Other,206.0,input resistance
11651,Other,-48.6,spike threshold
11652,Other,-52.0,spike threshold
11653,Other,-43.5,spike threshold
11654,Other,-43.7,spike threshold
11655,Other,-15.2,AHP duration
11656,Other,-24.9,AHP duration
11657,Other,-75.9,resting membrane potential
11658,Other,-77.0,resting membrane potential
11659,Other,123.2,input resistance
11660,Other,109.3,input resistance
11661,Neostriatum gabaergic interneuron,34.61,membrane time constant
11662,Neostriatum gabaergic interneuron,22.43,membrane time constant
11663,Neostriatum gabaergic interneuron,14.67,membrane time constant
11664,Neostriatum gabaergic interneuron,6.72,membrane time constant
11665,Neostriatum gabaergic interneuron,-66.1,resting membrane potential
11666,Neostriatum gabaergic interneuron,-66.2,resting membrane potential
11667,Neostriatum gabaergic interneuron,-73.1,resting membrane potential
11668,Neostriatum gabaergic interneuron,232.3,input resistance
11669,Neostriatum gabaergic interneuron,84.1,input resistance
11670,Neostriatum gabaergic interneuron,-82.0,resting membrane potential
11671,Neostriatum gabaergic interneuron,601.1,input resistance
11672,Neostriatum gabaergic interneuron,362.0,input resistance
11673,Other,0.88,spike half-width
11674,Other,69.7,spike amplitude
11675,Other,-42.1,spike threshold
11676,Other,5.2,spontaneous firing rate
11677,Other,517.0,input resistance
11678,Other,-57.7,resting membrane potential
11679,Other,-10.2,AHP amplitude
11680,Substantia nigra pars compacta dopaminergic cell,-56.5,AHP voltage
11681,Substantia nigra pars compacta dopaminergic cell,-40.8,spike threshold
11682,Substantia nigra pars compacta dopaminergic cell,26.5,spike peak
11683,Neostriatum TH+ cell,321.0,maximum firing rate
11684,Neostriatum TH+ cell,114.0,maximum firing rate
11685,Neostriatum TH+ cell,98.0,maximum firing rate
11686,Neostriatum TH+ cell,194.0,maximum firing rate
11687,Spinal cord ventral horn motor neuron alpha,47.6,AHP duration
11688,Spinal cord ventral horn motor neuron alpha,2.4,rheobase
11689,Spinal cord ventral horn motor neuron alpha,9.2,input resistance
11690,Spinal cord ventral horn motor neuron alpha,18.6,other
11691,Spinal cord ventral horn motor neuron alpha,77.2,spike amplitude from resting
11692,Spinal cord ventral horn motor neuron alpha,-59.8,resting membrane potential
11693,Spinal cord ventral horn motor neuron alpha,4.4,membrane time constant
11694,Spinal cord ventral horn motor neuron alpha,-4.3,AHP amplitude
11695,Amygdaloid nucleus paracapsular intercalated cell,33.8,maximum firing rate
11696,Neocortex chandelier cell,379.0,input resistance
11697,Neocortex chandelier cell,1.57,slow AHP amplitude
11698,Neocortex chandelier cell,0.34,spike half-width
11699,Neocortex chandelier cell,9.4,membrane time constant
11700,Neocortex chandelier cell,-45.0,spike threshold
11701,Neocortex chandelier cell,-70.0,resting membrane potential
11702,Neocortex chandelier cell,55.0,spike amplitude
11703,Neocortex chandelier cell,18.4,fast AHP amplitude
11704,Neocortex chandelier cell,0.93,adaptation ratio
11705,Neocortex chandelier cell,0.17,ADP amplitude
11706,Neocortex chandelier cell,207.0,first spike latency
11707,Trigeminal nucleus motor neuron,80.0,AHP duration
11708,Trigeminal nucleus motor neuron,63.0,input resistance
11709,Trigeminal nucleus motor neuron,6.0,AHP amplitude from resting
11710,Trigeminal nucleus motor neuron,-47.0,spike threshold
11711,Trigeminal nucleus motor neuron,10.1,firing frequency
11712,Trigeminal nucleus motor neuron,0.87,spike half-width
11713,Trigeminal nucleus motor neuron,61.0,spike amplitude from resting
11714,Trigeminal nucleus motor neuron,-57.0,resting membrane potential
11715,Hippocampus CA1 pyramidal cell,113.13,spike amplitude
11716,Hippocampus CA1 pyramidal cell,111.46,spike amplitude
11717,Hippocampus CA1 pyramidal cell,13.3,sag amplitude
11718,Hippocampus CA1 pyramidal cell,0.42,spike max rise slope
11719,Medial entorhinal cortex layer II stellate cell,-1.7,medium AHP amplitude from resting
11720,Basalis nucleus cholinergic neuron,15.0,spontaneous firing rate
11721,Basalis nucleus cholinergic neuron,15.0,spontaneous firing rate
11722,Neocortex pyramidal cell layer 2-3,1.5,other
11723,Neostriatum TH+ cell,1.12,sag ratio
11724,Neostriatum TH+ cell,1.12,sag ratio
11725,Neostriatum TH+ cell,1.13,sag ratio
11726,Nucleus accumbens shell neuron,0.76,spike rise time
11727,Nucleus accumbens core neuron,0.72,spike rise time
11728,Other,20.0,AHP amplitude
11729,Other,-55.0,resting membrane potential
11730,Other,1.0,input resistance
11731,Other,88.0,spike amplitude
11732,Neocortex interneuron deep,33.0,maximum firing rate
11733,Subiculum pyramidal cell,33.0,maximum firing rate
11734,Neocortex interneuron deep,1065.0,FI slope
11735,Subiculum pyramidal cell,270.0,FI slope
11736,Neocortex interneuron deep,732.0,FI slope
11737,Neocortex interneuron deep,885.0,FI slope
11738,Neocortex interneuron deep,-498.0,spike max decay slope
11739,Neocortex interneuron deep,74.0,maximum firing rate
11740,Neocortex interneuron deep,247.0,maximum firing rate
11741,Subiculum pyramidal cell,-14.7,AHP amplitude
11742,Neocortex interneuron deep,-23.8,AHP amplitude
11743,Neocortex interneuron deep,-355.0,spike max decay slope
11744,Neocortex interneuron deep,-353.0,spike max decay slope
11745,Subiculum pyramidal cell,-134.0,spike max decay slope
11746,Subiculum pyramidal cell,517.0,spike max rise slope
11747,Neocortex interneuron deep,-23.7,AHP amplitude
11748,Neocortex interneuron deep,-23.5,AHP amplitude
11749,Neocortex interneuron deep,598.0,spike max rise slope
11750,Neocortex interneuron deep,637.0,spike max rise slope
11751,Neocortex interneuron deep,571.0,spike max rise slope
11752,Hippocampus CA1 pyramidal cell,2.3,ADP amplitude
11753,Thalamus relay cell,136.4,input resistance
11754,Thalamus relay cell,157.0,input resistance
11755,Thalamus relay cell,-76.4,resting membrane potential
11756,Thalamus relay cell,415.3,spike half-width
11757,Thalamus relay cell,98.4,input resistance
11758,Cerebellum Purkinje cell,83.0,AHP amplitude
11759,Cerebellum Purkinje cell,4.0,spike half-width
11760,Cerebellum Purkinje cell,0.9,cell surface area
11761,Other,29.0,spike peak
11762,Neostriatum medium spiny neuron,133.0,spike max rise slope
11763,Neostriatum medium spiny neuron,-92.1,spike max decay slope
11764,Spinal cord ventral horn motor neuron alpha,0.87,spike rise time
11765,Spinal cord ventral horn motor neuron alpha,158.3,input resistance
11766,Spinal cord ventral horn motor neuron alpha,156.2,input resistance
11767,Spinal cord ventral horn motor neuron alpha,1.53,spike half-width
11768,Spinal cord ventral horn motor neuron alpha,1.31,spike rise time
11769,Spinal cord ventral horn motor neuron alpha,139.0,rheobase
11770,Spinal cord ventral horn motor neuron alpha,133.5,rheobase
11771,Spinal cord ventral horn motor neuron alpha,71.19,FI slope
11772,Spinal cord ventral horn motor neuron alpha,1.34,spike half-width
11773,Spinal cord ventral horn motor neuron alpha,79.67,spike amplitude
11774,Spinal cord ventral horn motor neuron alpha,-51.67,spike threshold
11775,Spinal cord ventral horn motor neuron alpha,-54.41,spike threshold
11776,Spinal cord ventral horn motor neuron alpha,57.41,FI slope
11777,Spinal cord ventral horn motor neuron alpha,72.62,spike amplitude
11778,Neocortex pyramidal cell layer 5-6,0.443,adaptation ratio
11779,Neocortex pyramidal cell layer 5-6,0.197,adaptation ratio
11780,Neocortex pyramidal cell layer 5-6,0.568,adaptation ratio
11781,Other,262.0,input resistance
11782,Other,342.0,input resistance
11783,Other,-68.3,resting membrane potential
11784,Other,-68.2,resting membrane potential
11785,Other,386.0,input resistance
11786,Other,212.0,input resistance
11787,Other,-72.0,resting membrane potential
11788,Other,-73.0,resting membrane potential
11789,Thalamus parafascicular nucleus neuron,-66.7,resting membrane potential
11790,Other,-69.5,resting membrane potential
11791,Other,277.0,input resistance
11792,Other,-69.5,resting membrane potential
11793,Other,242.0,input resistance
11794,Other,345.0,input resistance
11795,Other,-71.0,resting membrane potential
11796,Thalamic reticular nucleus cell,341.0,input resistance
11797,Thalamic reticular nucleus cell,-65.8,resting membrane potential
11798,Thalamus parafascicular nucleus neuron,589.0,input resistance
11799,Trochlear nucleus motoneurons,-66.2,AHP voltage
11800,Other,4.68,ADP amplitude
11801,Other,1.55,spike half-width
11802,Other,128.6,spike amplitude from resting
11803,Other,-4.65,AHP amplitude
11804,Other,125.4,spike amplitude from resting
11805,Other,-4.35,AHP amplitude
11806,Other,-4.48,AHP amplitude
11807,Other,3.51,ADP amplitude
11808,Other,4.66,ADP amplitude
11809,Other,1.64,spike half-width
11810,Other,1.53,spike half-width
11811,Other,126.8,spike amplitude from resting
11812,Other,129.1,spike amplitude from resting
11813,Other,-3.2,AHP amplitude
11814,Other,-3.82,AHP amplitude
11815,Other,126.2,spike amplitude from resting
11816,Other,126.5,spike amplitude from resting
11817,Other,-3.82,AHP amplitude
11818,Other,3.51,ADP amplitude
11819,Other,4.79,ADP amplitude
11820,Other,4.07,ADP amplitude
11821,Other,1.72,spike half-width
11822,Other,1.5,spike half-width
11823,Other,1.46,spike half-width
11824,Other,131.9,spike amplitude from resting
11825,Other,125.4,spike amplitude from resting
11826,Other,-4.3,AHP amplitude
11827,Other,-4.46,AHP amplitude
11828,Other,6.27,ADP amplitude
11829,Other,4.19,ADP amplitude
11830,Other,1.65,spike half-width
11831,Other,1.53,spike half-width
11832,Neostriatum gabaergic interneuron,344.0,input resistance
11833,Neostriatum gabaergic interneuron,240.0,input resistance
11834,Neostriatum gabaergic interneuron,419.0,input resistance
11835,Neostriatum gabaergic interneuron,335.0,input resistance
11836,Neostriatum gabaergic interneuron,369.2,input resistance
11837,Neostriatum gabaergic interneuron,64.06,spike amplitude
11838,Neostriatum gabaergic interneuron,64.5,spike amplitude
11839,Neostriatum gabaergic interneuron,66.2,spike amplitude
11840,Neostriatum gabaergic interneuron,-43.75,spike threshold
11841,Neostriatum gabaergic interneuron,-44.29,spike threshold
11842,Neostriatum gabaergic interneuron,-36.74,spike threshold
11843,Neostriatum gabaergic interneuron,0.91,spike half-width
11844,Neostriatum gabaergic interneuron,61.0,spike amplitude
11845,Neostriatum gabaergic interneuron,1.48,spike half-width
11846,Neostriatum gabaergic interneuron,0.76,spike half-width
11847,Neostriatum gabaergic interneuron,0.87,spike half-width
11848,Neostriatum gabaergic interneuron,0.76,spike half-width
11849,Neostriatum gabaergic interneuron,-73.2,resting membrane potential
11850,Neostriatum gabaergic interneuron,-74.2,resting membrane potential
11851,Neostriatum gabaergic interneuron,-60.5,resting membrane potential
11852,Neostriatum gabaergic interneuron,-62.3,resting membrane potential
11853,Neostriatum gabaergic interneuron,-40.47,spike threshold
11854,Neostriatum gabaergic interneuron,0.04,sag ratio
11855,Neostriatum gabaergic interneuron,0.1,sag ratio
11856,Neostriatum gabaergic interneuron,0.039,sag ratio
11857,Neostriatum gabaergic interneuron,0.13,sag ratio
11858,Neostriatum gabaergic interneuron,0.02,sag ratio
11859,Neostriatum gabaergic interneuron,52.1,spike amplitude
11860,Neostriatum gabaergic interneuron,16.9,fast AHP amplitude
11861,Neostriatum gabaergic interneuron,18.9,fast AHP amplitude
11862,Neostriatum gabaergic interneuron,19.1,fast AHP amplitude
11863,Neostriatum gabaergic interneuron,18.9,fast AHP amplitude
11864,Neostriatum gabaergic interneuron,7.42,fast AHP amplitude
11865,Neostriatum gabaergic interneuron,-73.9,resting membrane potential
11866,Neostriatum gabaergic interneuron,-37.0,spike threshold
11867,Neostriatum gabaergic interneuron,0.004,adaptation ratio (1 – first/last ISI)
11868,Neostriatum gabaergic interneuron,0.41,adaptation ratio (1 – first/last ISI)
11869,Neostriatum gabaergic interneuron,0.33,adaptation ratio (1 – first/last ISI)
11870,Neostriatum gabaergic interneuron,0.24,adaptation ratio (1 – first/last ISI)
11871,Neostriatum gabaergic interneuron,0.37,adaptation ratio (1 – first/last ISI)
11872,Lateral amygdala projection neuron,0.45,adaptation ratio (1 – first/last ISI)
11873,Nucleus of the solitary tract principal cell,63.8,AHP duration
11874,Nucleus of the solitary tract principal cell,22.9,AHP amplitude
11875,Nucleus of the solitary tract principal cell,5.4,spike width
11876,Nucleus of the solitary tract principal cell,69.0,spike amplitude
11877,Nucleus of the solitary tract principal cell,2.7,spike half-width
11878,Nucleus of the solitary tract principal cell,72.7,spike amplitude
11879,Nucleus of the solitary tract intrinsic cell,65.4,AHP duration
11880,Nucleus of the solitary tract principal cell,3.1,spike half-width
11881,Nucleus of the solitary tract principal cell,2.6,spike half-width
11882,Nucleus of the solitary tract principal cell,73.6,spike amplitude
11883,Nucleus of the solitary tract principal cell,38.2,AHP duration
11884,Nucleus of the solitary tract principal cell,6.4,spike width
11885,Nucleus of the solitary tract intrinsic cell,25.1,AHP amplitude
11886,Nucleus of the solitary tract intrinsic cell,61.2,spike amplitude
11887,Nucleus of the solitary tract intrinsic cell,2.9,spike half-width
11888,Nucleus of the solitary tract principal cell,37.5,AHP duration
11889,Nucleus of the solitary tract principal cell,16.9,AHP amplitude
11890,Nucleus of the solitary tract intrinsic cell,6.0,spike width
11891,Nucleus of the solitary tract principal cell,5.0,spike width
11892,Nucleus of the solitary tract principal cell,49.2,AHP duration
11893,Nucleus of the solitary tract principal cell,4.6,spike width
11894,Nucleus of the solitary tract principal cell,16.8,AHP amplitude
11895,Nucleus of the solitary tract principal cell,76.1,spike amplitude
11896,Nucleus of the solitary tract principal cell,2.4,spike half-width
11897,Nucleus of the solitary tract principal cell,21.9,AHP amplitude
11898,Nucleus of the solitary tract principal cell,18.8,AHP amplitude
11899,Nucleus of the solitary tract principal cell,52.3,AHP duration
11900,Nucleus of the solitary tract principal cell,78.7,spike amplitude
11901,Nucleus of the solitary tract principal cell,5.3,spike width
11902,Nucleus of the solitary tract principal cell,2.5,spike half-width
11903,Neocortex pyramidal cell layer 2-3,220.0,cell capacitance
11904,Neocortex pyramidal cell layer 2-3,14.4,membrane time constant
11905,Neocortex pyramidal cell layer 2-3,62.0,input resistance
11906,Neocortex pyramidal cell layer 2-3,-74.0,resting membrane potential
11907,Neocortex pyramidal cell layer 2-3,240.0,cell capacitance
11908,Neocortex pyramidal cell layer 2-3,13.9,membrane time constant
11909,Neocortex pyramidal cell layer 2-3,-73.0,resting membrane potential
11910,Neocortex pyramidal cell layer 2-3,64.0,input resistance
11911,Other,-63.32,resting membrane potential
11912,Other,-40.99,spike threshold
11913,Other,78.89,input resistance
11914,Other,11.51,membrane time constant
11915,Other,18.05,AHP amplitude
11916,Other,17.0,sag ratio
11917,Other,68.32,spike amplitude
11918,Other,1.42,spike width
11919,Other,13.89,sag ratio
11920,Other,17.44,AHP amplitude
11921,Other,1.53,spike width
11922,Other,64.96,spike amplitude
11923,Other,-42.88,spike threshold
11924,Other,-65.02,resting membrane potential
11925,Other,12.83,membrane time constant
11926,Other,75.67,input resistance
11927,Other,15.5,sag ratio
11928,Other,16.14,AHP amplitude
11929,Other,14.75,membrane time constant
11930,Other,73.3,input resistance
11931,Other,1.56,spike width
11932,Other,65.9,spike amplitude
11933,Other,-44.89,spike threshold
11934,Other,-62.48,resting membrane potential
11935,Neocortex uncharacterized cell,12.8,spontaneous firing rate
11936,Neocortex uncharacterized cell,14.0,spontaneous firing rate
11937,Neocortex uncharacterized cell,-63.2,resting membrane potential
11938,Neocortex uncharacterized cell,-61.8,resting membrane potential
11939,Dentate gyrus hilar cell,14.7,membrane time constant
11940,Dentate gyrus hilar cell,15.3,membrane time constant
11941,Dentate gyrus hilar cell,-58.0,resting membrane potential
11942,Dentate gyrus hilar cell,-54.0,resting membrane potential
11943,Dentate gyrus hilar cell,211.6,input resistance
11944,Dentate gyrus hilar cell,205.1,input resistance
11945,Dentate gyrus hilar cell,2.1,spike width
11946,Dentate gyrus hilar cell,1.6,spike width
11947,Dentate gyrus hilar cell,-40.5,spike threshold
11948,Dentate gyrus hilar cell,59.0,spike amplitude from resting
11949,Dentate gyrus hilar cell,0.86,spike half-width
11950,Dentate gyrus hilar cell,510.7,spike max decay slope
11951,Dentate gyrus hilar cell,397.2,spike max decay slope
11952,Dentate gyrus granule cell,784.0,spike max decay slope
11953,Dentate gyrus hilar cell,452.0,spike max decay slope
11954,Dentate gyrus granule cell,1876.3,spike max rise slope
11955,Dentate gyrus hilar cell,887.3,spike max rise slope
11956,Dentate gyrus hilar cell,751.0,spike max rise slope
11957,Dentate gyrus hilar cell,743.7,spike max rise slope
11958,Dentate gyrus hilar cell,1.1,spike half-width
11959,Dentate gyrus hilar cell,-36.2,spike threshold
11960,Dentate gyrus hilar cell,69.0,spike amplitude from resting
11961,Cerebellum Purkinje cell,288.0,spike max rise slope
11962,Cerebellum Purkinje cell,331.0,spike max decay slope
11963,Vestibular ganglion cell,0.28,input resistance
11964,Vestibular ganglion cell,0.27,input resistance
11965,Vestibular ganglion cell,0.32,input resistance
11966,Vestibular ganglion cell,28.2,spike threshold
11967,Vestibular ganglion cell,27.1,spike threshold
11968,Vestibular ganglion cell,30.0,spike threshold
11969,Vestibular ganglion cell,-59.2,resting membrane potential
11970,Vestibular ganglion cell,-59.1,resting membrane potential
11971,Vestibular ganglion cell,-58.0,resting membrane potential
11972,Vestibular ganglion cell,11.2,cell capacitance
11973,Vestibular ganglion cell,12.2,cell capacitance
11974,Vestibular ganglion cell,11.6,cell capacitance
11975,Other,-39.8,spike threshold
11976,Other,-35.1,spike threshold
11977,Other,-38.2,spike threshold
11978,Other,32.8,membrane time constant
11979,Other,3.26,spontaneous firing rate
11980,Other,25.4,membrane time constant
11981,Other,13.5,membrane time constant
11982,Other,62.1,spike amplitude
11983,Other,59.9,spike amplitude
11984,Other,306.2,input resistance
11985,Other,1.64,adaptation ratio (last/first ISI)
11986,Other,1.87,adaptation ratio (last/first ISI)
11987,Other,1.84,adaptation ratio (last/first ISI)
11988,Other,0.25,spontaneous firing rate
11989,Other,7.41,spontaneous firing rate
11990,Other,406.6,input resistance
11991,Other,54.0,spike amplitude
11992,Other,13.1,AHP amplitude
11993,Other,11.2,AHP amplitude
11994,Other,14.0,AHP amplitude
11995,Other,160.8,input resistance
11996,Other,0.56,spike half-width
11997,Other,0.53,spike half-width
11998,Other,0.52,spike half-width
11999,Other,6.5,maximum firing rate
12000,Other,13.9,maximum firing rate
12001,Other,-51.2,resting membrane potential
12002,Other,4.0,firing frequency
12003,Other,8.8,spontaneous firing rate
12004,Other,1.1,firing frequency
12005,Other,3.9,spontaneous firing rate
12006,Other,-54.1,resting membrane potential
12007,Other,-53.6,resting membrane potential
12008,Other,18.7,spontaneous firing rate
12009,Other,8.5,firing frequency
12010,Other,203.1,AHP duration
12011,Other,8.9,maximum firing rate
12012,Other,4.7,firing frequency
12013,Other,302.8,AHP duration
12014,Other,9.6,spontaneous firing rate
12015,Other,94.2,AHP duration
12016,Other,257.3,AHP duration
12017,Other,-53.3,resting membrane potential
12018,Other,21.3,maximum firing rate
12019,Thalamus relay cell,13.1,medium AHP amplitude
12020,Thalamus relay cell,-45.8,spike threshold
12021,Thalamus relay cell,16.7,fast AHP amplitude
12022,Amygdaloid nucleus paracapsular intercalated cell,0.06,cell capacitance
12023,Amygdaloid nucleus paracapsular intercalated cell,485.5,input resistance
12024,Amygdaloid nucleus paracapsular intercalated cell,73.4,spike amplitude
12025,Amygdaloid nucleus paracapsular intercalated cell,0.78,adaptation ratio
12026,Amygdaloid nucleus paracapsular intercalated cell,-9.7,AHP amplitude
12027,Amygdaloid nucleus paracapsular intercalated cell,0.92,sag ratio
12028,Amygdaloid nucleus paracapsular intercalated cell,24.5,membrane time constant
12029,Amygdaloid nucleus paracapsular intercalated cell,27.6,maximum firing rate
12030,Amygdaloid nucleus paracapsular intercalated cell,-84.9,resting membrane potential
12031,Amygdaloid nucleus paracapsular intercalated cell,0.8,spike half-width
12032,Basalis nucleus cholinergic neuron,0.25,spike rise time
12033,Basalis nucleus cholinergic neuron,0.57,spike decay time
12034,Olfactory bulb (main) external tufted cell,-57.5,resting membrane potential
12035,Olfactory bulb (main) external tufted cell,-25.3,spike threshold
12036,Hippocampus CA1 pyramidal cell,136.0,spike amplitude from resting
12037,Hippocampus CA1 radiatum giant cell,139.0,spike amplitude from resting
12038,Hippocampus CA1 pyramidal cell,0.15,spike rise time
12039,Trigeminal nucleus motor neuron,90.2,spike amplitude
12040,Trigeminal nucleus motor neuron,-62.2,resting membrane potential
12041,Trigeminal nucleus motor neuron,94.3,input resistance
12042,BNST (ALG),-42.8,spike threshold
12043,BNST (ALG),19.7,membrane time constant
12044,BNST (ALG),1.01,spike half-width
12045,BNST (ALG),74.8,spike amplitude
12046,BNST (ALG),78.4,spike amplitude
12047,BNST (ALG),22.7,membrane time constant
12048,BNST (ALG),25.4,membrane time constant
12049,BNST (ALG),195.8,input resistance
12050,BNST (ALG),297.1,input resistance
12051,BNST (ALG),266.7,input resistance
12052,BNST (ALG),1.21,spike half-width
12053,BNST (ALG),-38.3,spike threshold
12054,BNST (ALG),-57.8,resting membrane potential
12055,BNST (ALG),-61.0,resting membrane potential
12056,BNST (ALG),-67.3,resting membrane potential
12057,BNST (ALG),-43.4,spike threshold
12058,BNST (ALG),73.2,spike amplitude
12059,BNST (ALG),1.06,spike half-width
12060,BNST (ALG),0.82,adaptation ratio
12061,BNST (ALG),0.19,adaptation ratio
12062,BNST (ALG),0.55,adaptation ratio
12063,BNST (ALG),1.28,spike decay time
12064,BNST (ALG),1.17,spike decay time
12065,BNST (ALG),0.49,spike rise time
12066,BNST (ALG),0.43,spike rise time
12067,BNST (ALG),1.01,spike decay time
12068,BNST (ALG),0.4,spike rise time
12069,BNST (ALG),-5.26,fast AHP amplitude
12070,BNST (ALG),-5.48,fast AHP amplitude
12071,BNST (ALG),-7.64,fast AHP amplitude
12072,Neostriatum medium spiny neuron,107.0,spike amplitude from resting
12073,Neostriatum gabaergic interneuron,6.2,medium AHP amplitude
12074,Neostriatum gabaergic interneuron,4.17,medium AHP amplitude
12075,Lateral amygdala projection neuron,5.1,medium AHP amplitude
12076,Neostriatum gabaergic interneuron,3.39,medium AHP amplitude
12077,Neostriatum gabaergic interneuron,6.5,medium AHP amplitude
12078,Neostriatum gabaergic interneuron,12.0,medium AHP amplitude
12079,Thalamus relay cell,336.2,spike max rise slope
12080,Thalamus relay cell,168.9,spike max decay slope
12081,Amygdaloid nucleus paracapsular intercalated cell,419.7,input resistance
12082,Amygdaloid nucleus paracapsular intercalated cell,658.6,input resistance
12083,Amygdaloid nucleus paracapsular intercalated cell,0.07,cell capacitance
12084,Amygdaloid nucleus paracapsular intercalated cell,0.8,adaptation ratio
12085,Amygdaloid nucleus paracapsular intercalated cell,0.05,cell capacitance
12086,Amygdaloid nucleus paracapsular intercalated cell,0.61,spike half-width
12087,Amygdaloid nucleus paracapsular intercalated cell,76.2,spike amplitude
